,Year,Mo,Dy,Hr,Country,Region,Focal Depth (km),Mag,Average Income,p0p50_share,Population density national,Total Deaths,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Total Death Description,Total Injuries Description,Total Damage Description,Total Houses Destroyed Description,Total Houses Damaged Description
0,2000,1,11,23.0,CHINA,  LIAONING PROVINCE,10.0,5.1,4836.4401,0.1737,134.6475,0.0,30.0,12.313571428571427,3600.0,8800.0,0.0,1.0,3.0,4.0,4.0
1,2000,1,14,23.0,CHINA,  YAOAN COUNTY,33.0,5.9,4836.4401,0.1737,134.6475,7.0,2528.0,73.5,41000.0,0.0,1.0,4.0,4.0,4.0,0.0
2,2000,6,7,21.0,CHINA,  LIUKU; MYANMAR,33.0,6.3,4836.4401,0.1737,134.6475,0.0,0.0,0.62625,194.65384615384616,0.0,0.0,0.0,1.0,2.0,0.0
3,2000,8,21,13.0,CHINA,  WUDING,33.0,4.2,4836.4401,0.1737,134.6475,1.0,406.0,43.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0
4,2000,2,2,22.0,IRAN, KASHMAR,33.0,5.3,13549.8134,0.1232,40.397152,1.0,15.0,2.1753684210526316,100.0,300.0,1.0,1.0,2.0,2.0,3.0
5,2000,3,28,11.0,JAPAN,  VOLCANO ISLANDS,127.0,7.6,27663.8877,0.1692,347.8844,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
6,2000,7,1,7.0,JAPAN,  KOZU-SHIMA,10.0,6.1,27663.8877,0.1692,347.8844,1.0,359.9583333333333,0.62625,0.0,0.0,1.0,3.0,1.0,0.0,0.0
7,2000,7,15,1.0,JAPAN,  NII-JIMA,10.0,6.1,27663.8877,0.1692,347.8844,0.0,10.0,0.62625,0.0,20.0,0.0,1.0,1.0,0.0,1.0
8,2000,7,30,12.0,JAPAN,  S,10.0,6.5,27663.8877,0.1692,347.8844,0.0,1.0,0.62625,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,2000,10,6,4.0,JAPAN, TOTTORI,10.0,6.7,27663.8877,0.1692,347.8844,0.0,130.0,150.0,104.0,2230.0,0.0,3.0,4.0,3.0,4.0
10,2000,4,5,4.0,GREECE,  CRETE,38.0,5.5,28869.5008,0.1655,85.63314,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
11,2000,5,4,4.0,INDONESIA,,26.0,7.6,5279.0083,0.1801,113.112885,54.0,264.0,30.0,23000.0,0.0,2.0,3.0,4.0,4.0,0.0
12,2000,6,4,16.0,INDONESIA, ENGGANO,33.0,7.9,5279.0083,0.1801,113.112885,103.0,2174.0,6.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0
13,2000,6,7,23.0,INDONESIA,  LAHAT,33.0,6.7,5279.0083,0.1801,113.112885,1.0,0.0,2.1753684210526316,0.0,600.0,1.0,0.0,2.0,0.0,3.0
14,2000,7,12,1.0,INDONESIA,KADUDAMPIT,33.0,5.4,5279.0083,0.1801,113.112885,0.0,6.0,2.1753684210526316,0.0,225.0,0.0,1.0,2.0,0.0,3.0
15,2000,5,7,23.0,TURKEY, PUTURGE,5.0,4.1,17787.5825,0.1232,83.304375,0.0,1.0,2.1753684210526316,0.0,200.0,0.0,1.0,2.0,0.0,3.0
16,2000,6,6,2.0,TURKEY, ORTA,10.0,6.0,17787.5825,0.1232,83.304375,2.0,80.0,12.313571428571427,0.0,4600.0,1.0,2.0,3.0,0.0,4.0
17,2000,12,15,16.0,TURKEY,  AFYON-BOLVADIN,10.0,6.0,17787.5825,0.1232,83.304375,6.0,41.0,0.62625,0.0,80.84848484848484,1.0,1.0,1.0,0.0,2.0
18,2000,5,17,3.0,TAIWAN,  TAI-CHUNG COUNTY,10.0,5.4,29867.0978,0.1306,626.79297,3.0,13.0,0.62625,0.0,0.0,1.0,1.0,1.0,0.0,0.0
19,2000,6,10,18.0,TAIWAN,  NAN-TOU,33.0,6.4,29867.0978,0.1306,626.79297,2.0,36.0,0.62625,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20,2000,6,17,15.0,ICELAND, HELLA,10.0,6.5,41900.1627,0.2197,2.7915204,0.0,1.0,20.0,11.0,19.0,0.0,1.0,3.0,1.0,1.0
21,2000,6,21,0.0,ICELAND, STOKKSEYRI,10.0,6.5,41900.1627,0.2197,2.7915204,0.0,0.0,12.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0
22,2000,6,18,14.0,AUSTRALIA, COCOS ISLANDS,10.0,7.9,36942.8974,0.1796,2.4724286,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
23,2000,7,6,19.0,NICARAGUA,  MASAYA,33.0,5.4,6037.2429,0.085,42.572903,7.0,42.0,12.313571428571427,357.0,1130.0,1.0,1.0,3.0,3.0,4.0
24,2000,7,16,3.0,PHILIPPINES, BATAN ISLANDS,33.0,6.4,6366.5475,0.1174,261.45563,0.0,6.0,2.1753684210526316,0.0,490.2808988764045,0.0,1.0,2.0,0.0,3.0
25,2000,10,2,2.0,TANZANIA, RUKWA,34.0,6.5,2057.8272,0.1465,38.906868,0.0,6.0,0.62625,7.0,150.0,0.0,1.0,1.0,1.0,3.0
26,2000,11,16,4.0,PAPUA NEW GUINEA, DUKE OF YORK,17.0,8.0,4513.9787,0.1149,12.163362,2.0,0.0,2.1753684210526316,392.7142857142857,0.0,1.0,0.0,2.0,3.0,0.0
27,2000,11,16,7.0,PAPUA NEW GUINEA, NEW BRITAIN,30.0,7.8,4513.9787,0.1149,12.163362,0.0,0.0,0.62625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,2000,11,17,21.0,PAPUA NEW GUINEA,  NEW BRITAIN,33.0,7.8,4513.9787,0.1149,12.163362,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
29,2000,11,25,18.0,AZERBAIJAN,  BAKU,50.0,6.8,4401.8681,0.1539,99.09669,31.0,430.0,0.62625,0.0,0.0,1.0,3.0,1.0,0.0,0.0
30,2000,12,6,17.0,TURKMENISTAN,  NEBITDAG-TURKMENBASHI,30.0,7.0,6523.8779,0.13,9.723012,11.0,69.83928571428571,0.62625,0.0,0.0,1.0,2.0,1.0,0.0,0.0
31,2001,1,1,6.0,PHILIPPINES,  MINDANAO,33.0,7.5,6352.8837,0.117,267.0493,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
32,2001,1,26,3.0,INDIA, RAJOKOT; PAKISTAN,17.0,7.6,3449.1315,0.1814,362.9001,20005.0,166836.0,2623.0,339000.0,0.0,4.0,4.0,4.0,4.0,0.0
33,2001,2,13,14.0,EL SALVADOR, SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,10.0,6.6,9270.9013,0.071,289.00107,315.0,3399.0,348.5,41302.0,15706.0,3.0,4.0,4.0,4.0,4.0
34,2001,5,8,18.0,EL SALVADOR,  CONCHAGUA,10.0,5.7,9270.9013,0.071,289.00107,1.0,0.0,2.1753684210526316,84.0,70.0,1.0,0.0,2.0,2.0,2.0
35,2001,2,23,0.0,CHINA, YAJIANG,33.0,5.6,5089.5601,0.1681,135.56787,3.0,109.0,12.313571428571427,60000.0,0.0,1.0,3.0,3.0,4.0,0.0
36,2001,5,23,21.0,CHINA,  YANYUAN,33.0,5.5,5089.5601,0.1681,135.56787,2.0,605.0,36.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0
37,2001,7,14,18.0,CHINA,  JIANGCHUAN,33.0,4.3,5089.5601,0.1681,135.56787,0.0,2.0,0.62625,150.0,0.0,0.0,1.0,1.0,3.0,0.0
38,2001,10,27,5.0,CHINA,  YONGSHENG,10.0,5.6,5089.5601,0.1681,135.56787,1.0,220.0,2.1753684210526316,3400.0,0.0,1.0,3.0,2.0,4.0,0.0
39,2001,11,14,9.0,CHINA,  XIDATAN,10.0,7.8,5089.5601,0.1681,135.56787,0.0,0.0,0.62625,194.65384615384616,0.0,0.0,0.0,1.0,2.0,0.0
