iter	Passed	Remaining
0	47	47438
1	47	23884
2	48	16139
3	49	12269
4	49	9946
5	50	8437
6	51	7343
7	52	6512
8	53	5845
9	53	5336
10	54	4906
11	55	4554
12	56	4259
13	56	4005
14	57	3785
15	58	3587
16	59	3412
17	59	3257
18	60	3117
19	61	2989
20	61	2878
21	62	2779
22	63	2687
23	64	2609
24	64	2531
25	65	2458
26	66	2396
27	67	2336
28	68	2279
29	68	2224
30	69	2176
31	70	2128
32	71	2084
33	71	2039
34	72	2001
35	73	1969
36	74	1934
37	75	1900
38	75	1868
39	76	1840
40	77	1815
41	78	1792
42	79	1772
43	80	1749
44	81	1720
45	81	1699
46	82	1678
47	83	1658
48	84	1637
49	85	1620
50	86	1601
51	86	1584
52	88	1572
53	89	1559
54	90	1546
55	90	1531
56	91	1516
57	92	1500
58	93	1487
59	93	1472
60	94	1458
61	95	1444
62	96	1431
63	97	1421
64	97	1408
65	98	1397
66	99	1385
67	100	1373
68	100	1361
69	101	1350
70	102	1338
71	102	1327
72	103	1316
73	104	1307
74	105	1296
75	105	1287
76	106	1277
77	107	1268
78	107	1258
79	108	1249
80	109	1240
81	110	1234
82	111	1228
83	112	1221
84	112	1214
85	113	1208
86	114	1200
87	115	1194
88	115	1186
89	116	1179
90	117	1174
91	118	1168
92	119	1161
93	119	1156
94	120	1149
95	121	1144
96	122	1137
97	122	1130
98	123	1126
99	124	1120
100	125	1115
101	125	1108
102	126	1103
103	127	1098
104	128	1092
105	129	1088
106	129	1082
107	130	1076
108	131	1070
109	131	1065
110	132	1060
111	133	1055
112	133	1050
113	134	1045
114	135	1040
115	135	1035
116	136	1029
117	137	1024
118	137	1019
119	138	1015
120	139	1010
121	139	1006
122	140	1003
123	141	999
124	142	996
125	143	993
126	144	989
127	144	986
128	145	982
129	146	978
130	146	974
131	147	972
132	148	968
133	149	963
134	149	960
135	150	956
136	151	952
137	151	948
138	152	945
139	153	942
140	153	938
141	154	934
142	155	930
143	156	927
144	156	923
145	157	920
146	158	918
147	159	915
148	159	912
149	160	909
150	161	906
151	162	903
152	162	900
153	163	898
154	164	896
155	165	893
156	165	891
157	166	888
158	167	886
159	168	882
160	168	879
161	169	876
162	170	873
163	170	870
164	171	867
165	172	864
166	172	861
167	173	859
168	174	856
169	175	854
170	175	852
171	176	850
172	177	848
173	178	846
174	178	843
175	179	841
176	180	838
177	180	835
178	181	832
179	182	830
180	182	828
181	183	825
182	184	822
183	184	820
184	185	817
185	186	815
186	186	812
187	187	810
188	188	807
189	188	805
190	190	804
191	190	802
192	191	801
193	192	800
194	193	799
195	194	797
196	195	797
197	196	795
198	197	793
199	197	791
200	198	790
201	199	788
202	200	786
203	201	784
204	201	782
205	202	781
206	203	780
207	204	779
208	205	778
209	206	776
210	207	776
211	208	776
212	209	775
213	210	773
214	211	771
215	212	771
216	213	771
217	214	770
218	216	771
219	217	770
220	218	769
221	219	768
222	220	767
223	221	765
224	221	764
225	222	762
226	223	761
227	224	759
228	224	757
229	225	756
230	226	754
231	227	753
232	228	751
233	228	749
234	229	747
235	230	745
236	230	743
237	231	741
238	232	739
239	232	737
240	233	736
241	234	734
242	235	732
243	235	731
244	236	729
245	237	727
246	238	725
247	238	723
248	239	721
249	239	719
250	240	718
251	241	717
252	242	715
253	242	713
254	243	712
255	244	710
256	245	708
257	245	706
258	246	705
259	247	703
260	247	701
261	248	700
262	249	698
263	250	697
264	250	695
265	251	693
266	252	692
267	252	690
268	253	688
269	254	687
270	254	685
271	255	683
272	256	681
273	256	680
274	257	678
275	258	677
276	258	675
277	259	674
278	260	672
279	261	671
280	261	669
281	262	668
282	263	666
283	264	665
284	264	664
285	265	663
286	266	661
287	267	660
288	268	659
289	268	658
290	269	657
291	270	656
292	271	654
293	272	653
294	272	651
295	273	650
296	274	649
297	274	647
298	275	646
299	276	644
300	277	643
301	277	642
302	278	640
303	279	639
304	280	638
305	280	636
306	281	635
307	282	634
308	283	633
309	283	631
310	284	630
311	285	628
312	285	627
313	286	626
314	287	624
315	287	623
316	288	621
317	289	620
318	290	619
319	290	618
320	291	616
321	292	615
322	292	613
323	293	612
324	294	611
325	294	609
326	295	608
327	296	607
328	297	606
329	298	605
330	298	604
331	299	602
332	300	601
333	301	600
334	301	598
335	302	597
336	302	596
337	303	594
338	304	593
339	304	591
340	305	590
341	306	589
342	306	587
343	307	586
344	308	585
345	309	584
346	309	583
347	310	581
348	311	580
349	312	579
350	312	578
351	313	577
352	314	576
353	315	574
354	315	573
355	316	572
356	317	571
357	317	570
358	318	568
359	319	567
360	320	566
361	321	565
362	321	564
363	322	563
364	323	562
365	323	561
366	324	559
367	325	558
368	326	557
369	326	556
370	327	554
371	328	553
372	328	552
373	329	551
374	330	550
375	331	549
376	331	548
377	332	547
378	333	546
379	334	544
380	334	543
381	335	542
382	336	541
383	336	540
384	337	539
385	338	537
386	338	536
387	339	535
388	340	534
389	340	533
390	341	531
391	342	530
392	342	529
393	343	528
394	344	527
395	345	526
396	345	525
397	346	524
398	347	523
399	348	522
400	348	521
401	349	519
402	350	518
403	350	517
404	351	516
405	352	515
406	353	514
407	353	513
408	354	511
409	354	510
410	355	509
411	356	508
412	356	507
413	357	506
414	358	505
415	358	503
416	359	502
417	360	501
418	361	501
419	362	499
420	362	498
421	363	497
422	364	496
423	364	495
424	365	494
425	366	493
426	366	492
427	367	491
428	368	489
429	368	488
430	369	487
431	370	486
432	370	485
433	371	484
434	372	483
435	372	482
436	373	481
437	374	480
438	374	478
439	375	477
440	376	476
441	377	476
442	378	475
443	379	475
444	380	474
445	380	473
446	381	472
447	382	471
448	383	470
449	383	468
450	384	467
451	385	466
452	385	465
453	386	464
454	387	463
455	387	462
456	388	461
457	389	460
458	389	459
459	390	458
460	391	458
461	392	457
462	394	457
463	394	456
464	395	455
465	397	455
466	398	454
467	399	453
468	400	453
469	401	452
470	402	451
471	402	450
472	403	449
473	404	449
474	405	448
475	406	447
476	407	446
477	408	445
478	409	445
479	410	444
480	411	443
481	411	442
482	412	441
483	413	440
484	413	439
485	414	438
486	415	437
487	415	436
488	416	435
489	417	434
490	417	433
491	418	432
492	419	430
493	419	430
494	420	428
495	420	427
496	421	426
497	422	425
498	423	424
499	423	423
500	424	422
501	425	422
502	426	421
503	426	420
504	427	419
505	428	418
506	428	416
507	429	415
508	430	414
509	430	414
510	431	413
511	432	411
512	432	411
513	433	410
514	434	408
515	434	408
516	435	407
517	436	405
518	437	405
