Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Total Houses Damaged Description.1,Region,Average Income,p0p50_share,Population density national
2000,1,11,23.0,43.0,56.4,,,CHINA,CHINA:  LIAONING PROVINCE,40.498,122.994,10.0,5.1,,,,,,30.0,1.0,,3.0,3600.0,4.0,8800.0,4.0,,,,,30.0,1.0,,3.0,3600.0,4.0,8800.0,4.0,4.0,  LIAONING PROVINCE,4836.4401,0.1737,134.6475
2000,1,14,23.0,37.0,7.8,,,CHINA,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33.0,5.9,,5.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,,7.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,,,  YAOAN COUNTY,4836.4401,0.1737,134.6475
2000,6,7,21.0,46.0,55.9,,,CHINA,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,33.0,6.3,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,2.0,,,,  LIUKU; MYANMAR,4836.4401,0.1737,134.6475
2000,8,21,13.0,25.0,44.5,,,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33.0,4.2,,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,,,  WUDING,4836.4401,0.1737,134.6475
2000,2,2,22.0,58.0,1.5,,,IRAN,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33.0,5.3,,1.0,1.0,,,15.0,1.0,,2.0,100.0,2.0,100.0,2.0,1.0,1.0,,,15.0,1.0,,2.0,100.0,2.0,300.0,3.0,3.0, KASHMAR,13549.8134,0.1232,40.397152
2000,3,28,11.0,0.0,22.5,,,JAPAN,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,  VOLCANO ISLANDS,27663.8877,0.1692,347.8844
2000,7,1,7.0,1.0,55.5,2340.0,5104.0,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10.0,6.1,,1.0,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,,,3.0,,1.0,,,,,,  KOZU-SHIMA,27663.8877,0.1692,347.8844
2000,7,15,1.0,30.0,30.5,3508.0,,JAPAN,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10.0,6.1,,,,,,10.0,1.0,,1.0,,,20.0,1.0,,,,,10.0,1.0,,1.0,,,20.0,1.0,1.0,  NII-JIMA,27663.8877,0.1692,347.8844
2000,7,30,12.0,25.0,45.5,3509.0,,JAPAN,JAPAN:  HONSHU:  S,33.901,139.376,10.0,6.5,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,  S,27663.8877,0.1692,347.8844
2000,10,6,4.0,30.0,19.1,,,JAPAN,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10.0,6.7,9.0,,,,,130.0,3.0,150.0,4.0,104.0,3.0,2230.0,4.0,,,,,130.0,3.0,150.0,4.0,104.0,3.0,2230.0,4.0,4.0, TOTTORI,27663.8877,0.1692,347.8844
2000,4,5,4.0,36.0,58.8,2922.0,,GREECE,GREECE:  CRETE,34.22,25.69,38.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,  CRETE,28869.5008,0.1655,85.63314
2000,5,4,4.0,21.0,16.2,2338.0,,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26.0,7.6,,54.0,2.0,,,264.0,3.0,30.0,4.0,23000.0,4.0,,,54.0,2.0,,,264.0,3.0,30.0,4.0,23000.0,4.0,,,,,5279.0083,0.1801,113.112885
2000,6,4,16.0,28.0,26.1,,,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33.0,7.9,6.0,103.0,3.0,,,2174.0,4.0,6.0,3.0,,,,,103.0,3.0,,,2174.0,4.0,6.0,3.0,,,,,, ENGGANO,5279.0083,0.1801,113.112885
2000,6,7,23.0,45.0,26.6,,,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33.0,6.7,,1.0,1.0,,,,,,2.0,,,600.0,3.0,1.0,1.0,,,,,,2.0,,,600.0,3.0,3.0,  LAHAT,5279.0083,0.1801,113.112885
2000,7,12,1.0,10.0,42.6,,,INDONESIA,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33.0,5.4,,,,,,6.0,1.0,,2.0,,,225.0,3.0,,,,,6.0,1.0,,2.0,,,225.0,3.0,3.0,KADUDAMPIT,5279.0083,0.1801,113.112885
2000,5,7,23.0,10.0,54.1,,,TURKEY,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5.0,4.1,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,2.0,,,200.0,3.0,3.0, PUTURGE,17787.5825,0.1232,83.304375
2000,6,6,2.0,41.0,49.8,,,TURKEY,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10.0,6.0,7.0,2.0,1.0,,,80.0,2.0,,3.0,,,,,2.0,1.0,,,80.0,2.0,,3.0,,,4600.0,4.0,4.0, ORTA,17787.5825,0.1232,83.304375
2000,12,15,16.0,44.0,47.6,,,TURKEY,TURKEY:  AFYON-BOLVADIN,38.457,31.351,10.0,6.0,7.0,6.0,1.0,,,41.0,1.0,,1.0,,,,,6.0,1.0,,,41.0,1.0,,1.0,,,,2.0,2.0,  AFYON-BOLVADIN,17787.5825,0.1232,83.304375
2000,5,17,3.0,25.0,48.7,,,TAIWAN,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,10.0,5.4,,3.0,1.0,,,13.0,1.0,,1.0,,,,,3.0,1.0,,,13.0,1.0,,1.0,,,,,,  TAI-CHUNG COUNTY,29867.0978,0.1306,626.79297
2000,6,10,18.0,23.0,29.3,,,TAIWAN,TAIWAN:  NAN-TOU,23.843,121.225,33.0,6.4,,2.0,1.0,,,36.0,1.0,,1.0,,,,,2.0,1.0,,,36.0,1.0,,1.0,,,,,,  NAN-TOU,29867.0978,0.1306,626.79297
2000,6,17,15.0,40.0,41.7,,,ICELAND,"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,10.0,6.5,,,,,,1.0,1.0,20.0,3.0,11.0,1.0,11.0,1.0,,,,,1.0,1.0,20.0,3.0,11.0,1.0,19.0,1.0,1.0, HELLA,41900.1627,0.2197,2.7915204
2000,6,21,0.0,51.0,46.8,,,ICELAND,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,10.0,6.5,,,,,,,,12.0,3.0,12.0,1.0,12.0,1.0,,,,,,,12.0,3.0,12.0,1.0,,,, STOKKSEYRI,41900.1627,0.2197,2.7915204
2000,6,18,14.0,44.0,13.3,2341.0,,AUSTRALIA,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,10.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,, COCOS ISLANDS,36942.8974,0.1796,2.4724286
2000,7,6,19.0,30.0,20.3,,,NICARAGUA,NICARAGUA:  MASAYA,11.884,-85.988,33.0,5.4,,7.0,1.0,,,42.0,1.0,,3.0,357.0,3.0,1130.0,4.0,7.0,1.0,,,42.0,1.0,,3.0,357.0,3.0,1130.0,4.0,4.0,  MASAYA,6037.2429,0.085,42.572903
2000,7,16,3.0,21.0,45.5,,,PHILIPPINES,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,33.0,6.4,,,,,,6.0,1.0,,2.0,,,,3.0,,,,,6.0,1.0,,2.0,,,,3.0,3.0, BATAN ISLANDS,6366.5475,0.1174,261.45563
2000,10,2,2.0,25.0,31.3,,,TANZANIA,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,34.0,6.5,,,,,,6.0,1.0,,1.0,7.0,1.0,150.0,3.0,,,,,6.0,1.0,,1.0,7.0,1.0,150.0,3.0,3.0, RUKWA,2057.8272,0.1465,38.906868
2000,11,16,4.0,54.0,55.9,2352.0,,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,17.0,8.0,,2.0,1.0,,,,,,2.0,,3.0,,,2.0,1.0,,,,,,2.0,,3.0,,,, DUKE OF YORK,4513.9787,0.1149,12.163362
2000,11,16,7.0,42.0,16.9,,,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,30.0,7.8,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,, NEW BRITAIN,4513.9787,0.1149,12.163362
2000,11,17,21.0,1.0,56.4,,,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,33.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,  NEW BRITAIN,4513.9787,0.1149,12.163362
2000,11,25,18.0,9.0,11.4,,,AZERBAIJAN,AZERBAIJAN:  BAKU,40.245,49.946,50.0,6.8,,31.0,1.0,,,430.0,3.0,,1.0,,,,,31.0,1.0,,,430.0,3.0,,1.0,,,,,,  BAKU,4401.8681,0.1539,99.09669
2000,12,6,17.0,11.0,6.4,,,TURKMENISTAN,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,30.0,7.0,,11.0,1.0,,,,2.0,,1.0,,,,,11.0,1.0,,,,2.0,,1.0,,,,,,  NEBITDAG-TURKMENBASHI,6523.8779,0.13,9.723012
2001,1,1,6.0,57.0,4.1,,,PHILIPPINES,PHILIPPINES:  MINDANAO,6.898,126.579,33.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,  MINDANAO,6352.8837,0.117,267.0493
2001,1,26,3.0,16.0,42.8,,,INDIA,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.388,70.326,17.0,7.6,10.0,20005.0,4.0,,,166836.0,4.0,2623.0,4.0,339000.0,4.0,339000.0,4.0,20005.0,4.0,,,166836.0,4.0,2623.0,4.0,339000.0,4.0,,,, RAJOKOT; PAKISTAN,3449.1315,0.1814,362.9001
2001,2,13,14.0,22.0,5.8,,,EL SALVADOR,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10.0,6.6,6.0,315.0,3.0,,,3399.0,4.0,348.5,4.0,41302.0,4.0,15706.0,4.0,315.0,3.0,,,3399.0,4.0,348.5,4.0,41302.0,4.0,15706.0,4.0,4.0, SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,9270.9013,0.071,289.00107
