,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Total Houses Damaged Description.1,Region,Average Income,p0p50_share,Population density national,preperation_zone,pop_with_water,pop_without_water,pop_total
0,2000,1,11,23.0,43.0,56.4,,,CHINA,CHINA:  LIAONING PROVINCE,40.498,122.994,10.0,5.1,,,,,,30.0,1.0,,3.0,3600.0,4.0,8800.0,4.0,,,,,30.0,1.0,,3.0,3600.0,4.0,8800.0,4.0,4.0,  LIAONING PROVINCE,4836.4401,0.1737,134.6475,164.89999999999992,196.04728070034582,248.92542869824155,20899032.217218265
1,2000,1,14,23.0,37.0,7.8,,,CHINA,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,33.0,5.9,,5.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,,7.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,,,  YAOAN COUNTY,4836.4401,0.1737,134.6475,356.1000000000001,75.74461303337972,76.15557998072198,38290492.52524715
2,2000,6,7,21.0,46.0,55.9,,,CHINA,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,33.0,6.3,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,2.0,,,,  LIUKU; MYANMAR,4836.4401,0.1737,134.6475,572.5999999999999,36.68191536032283,38.31801945891998,47881124.211321555
3,2000,8,21,13.0,25.0,44.5,,,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,33.0,4.2,,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,,,  WUDING,4836.4401,0.1737,134.6475,70.20000000000002,67.6480444575015,67.6480444575015,1307027.8669633865
4,2000,2,2,22.0,58.0,1.5,,,IRAN,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,33.0,5.3,,1.0,1.0,,,15.0,1.0,,2.0,100.0,2.0,100.0,2.0,1.0,1.0,,,15.0,1.0,,2.0,100.0,2.0,300.0,3.0,3.0, KASHMAR,13549.8134,0.1232,40.397152,212.69999999999996,30.027525421062116,30.027525421062116,5372795.096065223
5,2000,3,28,11.0,0.0,22.5,,,JAPAN,JAPAN:  VOLCANO ISLANDS,22.338,143.73,127.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,  VOLCANO ISLANDS,27663.8877,0.1692,347.8844,2061.1999999999994,9.786133810370258,294.1342785582336,166194397.27948016
6,2000,7,1,7.0,1.0,55.5,2340.0,5104.0,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,10.0,6.1,,1.0,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,,,3.0,,1.0,,,,,,  KOZU-SHIMA,27663.8877,0.1692,347.8844,444.19999999999976,100.87968609436727,416.2244177951365,79458490.03034495
7,2000,7,15,1.0,30.0,30.5,3508.0,,JAPAN,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,10.0,6.1,,,,,,10.0,1.0,,1.0,,,20.0,1.0,,,,,10.0,1.0,,1.0,,,20.0,1.0,1.0,  NII-JIMA,27663.8877,0.1692,347.8844,444.19999999999976,95.02063955222332,393.6022720221185,74675010.25258036
8,2000,7,30,12.0,25.0,45.5,3509.0,,JAPAN,JAPAN:  HONSHU:  S,33.901,139.376,10.0,6.5,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,  S,27663.8877,0.1692,347.8844,701.0,49.54413454969759,340.41373169918745,97175865.50577685
9,2000,10,6,4.0,30.0,19.1,,,JAPAN,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,10.0,6.7,9.0,,,,,130.0,3.0,150.0,4.0,104.0,3.0,2230.0,4.0,,,,,130.0,3.0,150.0,4.0,104.0,3.0,2230.0,4.0,4.0, TOTTORI,27663.8877,0.1692,347.8844,829.4000000000001,59.29563392531787,257.63234566775003,162903250.85682935
10,2000,4,5,4.0,36.0,58.8,2922.0,,GREECE,GREECE:  CRETE,34.22,25.69,38.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,  CRETE,28869.5008,0.1655,85.63314,260.5,2.422575596402109,42.891243934696234,652547.3852224685
11,2000,5,4,4.0,21.0,16.2,2338.0,,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26.0,7.6,,54.0,2.0,,,264.0,3.0,30.0,4.0,23000.0,4.0,,,54.0,2.0,,,264.0,3.0,30.0,4.0,23000.0,4.0,,,,,5279.0083,0.1801,113.112885,2061.1999999999994,15.426384097072347,75.55074428683041,261980743.04868883
